participant,date,expName,psychopyVersion,OS,frameRate,correctKey,prac_resp.keys,prac_resp.corr,prac_resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,condition,check_practice.thisRepN,check_practice.thisTrialN,check_practice.thisN,check_practice.thisIndex,check_practice.ran,display,test_resp.keys,test_resp.corr,test_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp.keys,display_loop.thisRepN,display_loop.thisTrialN,display_loop.thisN,display_loop.thisIndex,display_loop.ran,key_resp.rt
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,right,,,,,,,,,spatial,,,,,,p,right,1,3.0472,1,1,4,1,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,up,,,,,,,,,neither,,,,,,p,left,0,3.8923,1,2,5,2,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,left,,,,,,,,,feature,,,,,,p,right,0,4.1848,2,0,6,0,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,up,,,,,,,,,neither,,,,,,p,right,0,3.3166,2,1,7,2,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,right,,,,,,,,,spatial,,,,,,p,right,1,3.9952,2,2,8,1,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,right,,,,,,,,,spatial,,,,,,p,left,0,4.307,3,0,9,1,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,left,,,,,,,,,feature,,,,,,p,left,1,4.2131,3,1,10,0,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,up,,,,,,,,,neither,,,,,,p,up,1,1.7276,3,2,11,2,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,,,,,,,,,,,,,,,,p,,,,,,,,,,2,0,4,1,1,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,right,,,,,,,,,spatial,,,,,,m,right,1,3.2915,0,0,0,1,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,up,,,,,,,,,neither,,,,,,m,up,1,3.1803,0,1,1,2,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,left,,,,,,,,,feature,,,,,,m,left,1,3.8064,0,2,2,0,1,,,,,,,
