participant,date,expName,psychopyVersion,OS,frameRate,correctKey,prac_resp.keys,prac_resp.corr,prac_resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,condition,display,test_resp.keys,test_resp.corr,test_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,display_loop.thisRepN,display_loop.thisTrialN,display_loop.thisN,display_loop.thisIndex,display_loop.ran
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,m,right,1,1.0203,3,1,10,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,m,left,1,0.7714,3,2,11,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,,,,,,,,,,,m,,,,,,,,,1,1,3,0,1
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,m,up,1,0.7313,0,0,0,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,m,up,0,0.6471,0,1,1,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,m,right,1,0.9634,0,2,2,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,m,up,0,1.115,1,0,3,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,m,up,1,0.9925,1,1,4,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,m,right,1,0.8358,1,2,5,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,m,right,1,1.7664,2,0,6,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,m,left,1,1.1256,2,1,7,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,m,up,1,1.2919,2,2,8,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,m,up,1,1.3315,3,0,9,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,m,left,1,0.7835,3,1,10,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,m,right,1,1.3939,3,2,11,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,,,,,,,,,,,m,,,,,,,,,2,0,4,0,1
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,left,1,1.0827,0,0,0,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,up,1,1.2409,0,1,1,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,right,1,0.9885,0,2,2,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,left,1,0.8343,1,0,3,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,up,1,1.908,1,1,4,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,left,0,0.5187,1,2,5,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,up,1,1.5001,2,0,6,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,right,1,0.8004,2,1,7,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,left,1,1.0475,2,2,8,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,right,1,1.0982,3,0,9,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,right,0,0.77,3,1,10,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,up,1,1.2263,3,2,11,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,,,,,,,,,,,p,,,,,,,,,2,1,5,1,1
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,up,1,1.038,0,0,0,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,left,1,0.8974,0,1,1,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,right,1,0.8012,0,2,2,1,1,,,,,
