X Scale,Y Scale,catch_pTarget,catch_pProbe,Pimage1,Pimage2,xPosition,FW_resp.keys,FW_resp.corr,FW_resp.rt,prac_Wtrials.thisRepN,prac_Wtrials.thisTrialN,prac_Wtrials.thisN,prac_Wtrials.thisIndex,prac_Wtrials.ran,trialID,imFile,imFile2,corr,diff,participant,position,screen,x_scale,y_scale,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,eval_prac_resp.keys,eval_prac_resp.rt,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,repeat_prac.ran,image1,image2,corr_acc,word_loop_set1.thisRepN,word_loop_set1.thisTrialN,word_loop_set1.thisN,word_loop_set1.thisIndex,word_loop_set1.ran,catch_target,catch_probe,key_resp_3.keys,key_resp_3.rt,word_loop_set2.thisRepN,word_loop_set2.thisTrialN,word_loop_set2.thisN,word_loop_set2.thisIndex,word_loop_set2.ran,word_loop_set3.thisRepN,word_loop_set3.thisTrialN,word_loop_set3.thisN,word_loop_set3.thisIndex,word_loop_set3.ran
,,,,,,0,d,1,0.602,,,,,,33,Stimuli/Words/word10.jpg,Stimuli/Words/word10.jpg,s,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word16.jpg,Stimuli/Words/word15.jpg,d,0,27,27,27,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.609,,,,,,39,Stimuli/Words/word16.jpg,Stimuli/Words/word16.jpg,s,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word16.jpg,Stimuli/Words/word16.jpg,s,0,28,28,28,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.835,,,,,,37,Stimuli/Words/word14.jpg,Stimuli/Words/word14.jpg,s,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word10.jpg,Stimuli/Words/word10.jpg,s,0,29,29,29,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.555,,,,,,78,Stimuli/Words/word37.jpg,Stimuli/Words/word38.jpg,d,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word18.jpg,Stimuli/Words/word18.jpg,s,0,30,30,30,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.54,,,,,,77,Stimuli/Words/word36.jpg,Stimuli/Words/word35.jpg,d,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word44.jpg,Stimuli/Words/word43.jpg,d,0,31,31,31,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.968,,,,,,24,Stimuli/Words/word53.jpg,Stimuli/Words/word53.jpg,s,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word14.jpg,Stimuli/Words/word14.jpg,s,0,32,32,32,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.685,,,,,,109,Stimuli/Words/word48.jpg,Stimuli/Words/word47.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word53.jpg,Stimuli/Words/word53.jpg,s,0,33,33,33,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.734,,,,,,12,Stimuli/Words/word29.jpg,Stimuli/Words/word29.jpg,s,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word42.jpg,Stimuli/Words/word42.jpg,s,0,34,34,34,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.646,,,,,,66,Stimuli/Words/word25.jpg,Stimuli/Words/word26.jpg,d,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word22.jpg,Stimuli/Words/word22.jpg,s,0,35,35,35,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.658,,,,,,93,Stimuli/Words/word12.jpg,Stimuli/Words/word11.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word34.jpg,Stimuli/Words/word34.jpg,s,,,,,,,,space,11.189,0,0,0,0,1,,,,,
,,,,,,0,s,1,0.658,,,,,,121,CatchTrial,CatchTrial,c,CatchTrials,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word47.jpg,Stimuli/Words/word47.jpg,s,,,,,,Stimuli/Words/word47.jpg,Stimuli/Words/word47.jpg,,,0,1,1,1,1,,,,,
,,,,,,0,d,1,0.754,,,,,,71,Stimuli/Words/word30.jpg,Stimuli/Words/word29.jpg,d,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word05.jpg,Stimuli/Words/word06.jpg,d,,,,,,,,,,0,2,2,2,1,,,,,
,,,,,,0,s,1,0.719,,,,,,11,Stimuli/Words/word28.jpg,Stimuli/Words/word28.jpg,s,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word06.jpg,Stimuli/Words/word06.jpg,s,,,,,,,,,,0,3,3,3,1,,,,,
,,,,,,0,d,1,1.404,,,,,,72,Stimuli/Words/word31.jpg,Stimuli/Words/word32.jpg,d,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word26.jpg,Stimuli/Words/word25.jpg,d,,,,,,,,,,0,4,4,4,1,,,,,
