"X.Scale","Y.Scale","same_target","same_probe","xPosition","FW_resp.keys","FW_resp.corr","FW_resp.rt","face_loop_set1.thisRepN","face_loop_set1.thisTrialN","face_loop_set1.thisN","face_loop_set1.thisIndex","face_loop_set1.ran","targetID","imFile","imFile2","corr","trial_type","position","screen","x_scale","y_scale","date","expName","psychopyVersion","OS","frameRate","xResolution","yResolution","diff_target","diff_probe","face_loop_set2.thisRepN","face_loop_set2.thisTrialN","face_loop_set2.thisN","face_loop_set2.thisIndex","face_loop_set2.ran","face_loop_set3.thisRepN","face_loop_set3.thisTrialN","face_loop_set3.thisN","face_loop_set3.thisIndex","face_loop_set3.ran"
NA,NA,"Stimuli/Faces/CM0031_1100.jpg","Stimuli/Faces/CM0031_1100.jpg",0,"d",0,0.3219,0,28,28,31,1,31,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0046_1100.jpg","Stimuli/Faces/CM0046_1100.jpg",0,"d",0,0.3031,0,29,29,29,1,29,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0005_1100.jpg","Stimuli/Faces/CM0005_1100.jpg",0,"s",1,0.4349,0,30,30,20,1,20,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.5505,0,31,31,10,1,10,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CF0016_1100.jpg","Stimuli/Faces/CM0005_1100.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0030_1100.jpg","Stimuli/Faces/CM0030_1100.jpg",0,"s",1,0.3502,NA,NA,NA,NA,NA,62,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",0,0,0,26,1,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.3167,NA,NA,NA,NA,NA,45,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CF0040_1110.jpg","Stimuli/Faces/CM0030_1100.jpg",0,1,1,9,1,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0052_1100.jpg","Stimuli/Faces/CF0052_1100.jpg",0,"s",1,0.2677,NA,NA,NA,NA,NA,59,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",0,2,2,23,1,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0007_1100.jpg","Stimuli/Faces/CF0007_1100.jpg",0,"s",1,0.4153,NA,NA,NA,NA,NA,56,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",0,3,3,20,1,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.3509,NA,NA,NA,NA,NA,37,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CM0048_1100.jpg","Stimuli/Faces/CF0052_1100.jpg",0,4,4,1,1,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0044_1100.jpg","Stimuli/Faces/CM0044_1100.jpg",0,"s",1,0.3453,NA,NA,NA,NA,NA,65,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",0,5,5,29,1,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.3366,NA,NA,NA,NA,NA,43,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CF0032_1100.jpg","Stimuli/Faces/CF0007_1100.jpg",0,6,6,7,1,NA,NA,NA,NA,NA
NA,NA,"","",0,"s",0,0.4013,NA,NA,NA,NA,NA,42,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CF0007_1100.jpg","Stimuli/Faces/CM0044_1100.jpg",0,7,7,6,1,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0050_1100.jpg","Stimuli/Faces/CF0050_1100.jpg",0,"s",1,0.2827,NA,NA,NA,NA,NA,60,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",0,8,8,24,1,NA,NA,NA,NA,NA
