X Scale,Y Scale,diff_pTarget,diff_pProbe,xPosition,FW_resp.keys,FW_resp.corr,FW_resp.rt,prac_Ftrials.thisRepN,prac_Ftrials.thisTrialN,prac_Ftrials.thisN,prac_Ftrials.thisIndex,prac_Ftrials.ran,targetID,imFile,imFile2,corr,trial_type,participant,position,screen,x_scale,y_scale,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,catch_pTarget,catch_pProbe,eval_prac_resp.keys,eval_prac_resp.rt,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,repeat_prac.ran,same_target,same_probe,face_loop_set1.thisRepN,face_loop_set1.thisTrialN,face_loop_set1.thisN,face_loop_set1.thisIndex,face_loop_set1.ran,diff_target,diff_probe,catch_target,catch_probe,face_loop_set2.thisRepN,face_loop_set2.thisTrialN,face_loop_set2.thisN,face_loop_set2.thisIndex,face_loop_set2.ran,face_loop_set3.thisRepN,face_loop_set3.thisTrialN,face_loop_set3.thisN,face_loop_set3.thisIndex,face_loop_set3.ran
,,,,0,d,1,0.4337,,,,,,34,catch_target,catch_probe,d,c,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,23,23,34,1,,,Stimuli/Faces/CM0029_2200.jpg,Stimuli/Faces/CF0034_1100.jpg,,,,,,,,,,
,,,,0,d,1,0.4705,,,,,,3,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,24,24,3,1,Stimuli/Faces/CM0047_1100.jpg,Stimuli/Faces/CF0058_1100.jpg,,,,,,,,,,,,
,,,,0,d,1,0.4566,,,,,,2,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,25,25,2,1,Stimuli/Faces/CF0022_1100.jpg,Stimuli/Faces/CF0020_1100.jpg,,,,,,,,,,,,
,,,,0,d,1,0.5334,,,,,,1,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,26,26,1,1,Stimuli/Faces/CM0009_1100.jpg,Stimuli/Faces/CM0047_1100.jpg,,,,,,,,,,,,
,,,,0,d,0,0.5718,,,,,,23,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CF0057_1100.jpg,Stimuli/Faces/CF0057_1100.jpg,0,27,27,23,1,,,,,,,,,,,,,,
,,,,0,d,0,0.6219,,,,,,17,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CF0026_1110.jpg,Stimuli/Faces/CF0026_1110.jpg,0,28,28,17,1,,,,,,,,,,,,,,
,,,,0,d,0,0.8274,,,,,,21,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CF0058_1100.jpg,Stimuli/Faces/CF0058_1100.jpg,0,29,29,21,1,,,,,,,,,,,,,,
,,,,0,d,0,0.5292,,,,,,26,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CF0020_1100.jpg,Stimuli/Faces/CF0020_1100.jpg,0,30,30,26,1,,,,,,,,,,,,,,
,,,,0,d,0,0.392,,,,,,30,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CM0047_1100.jpg,Stimuli/Faces/CM0047_1100.jpg,0,31,31,30,1,,,,,,,,,,,,,,
,,,,0,d,1,0.6124,,,,,,14,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,32,32,14,1,Stimuli/Faces/CM0030_1100.jpg,Stimuli/Faces/CM0009_1100.jpg,,,,,,,,,,,,
,,,,0,d,1,0.5459,,,,,,13,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,0,33,33,13,1,Stimuli/Faces/CM0028_1100.jpg,Stimuli/Faces/CF0021_1100.jpg,,,,,,,,,,,,
