space_left_dorsal_visual_cortex,space_left_ventral_visual_cortex,space_right_dorsal_visual_cortex,space_right_ventral_visual_cortex,tool_left_dorsal_visual_cortex,tool_left_ventral_visual_cortex,tool_right_dorsal_visual_cortex,tool_right_ventral_visual_cortex,face_left_dorsal_visual_cortex,face_left_ventral_visual_cortex,face_right_dorsal_visual_cortex,face_right_ventral_visual_cortex,word_left_dorsal_visual_cortex,word_left_ventral_visual_cortex,word_right_dorsal_visual_cortex,word_right_ventral_visual_cortex
57761.0,28133.75,56722.0,28806.25,60070.75,30284.0,51959.5,29469.25,53147.25,28786.75,46885.75,29369.5,62019.25,30119.5,55415.75,27563.25
62247.25,29322.0,63114.25,30288.0,54730.0,27182.75,65571.0,29825.0,55961.5,28065.5,54988.25,27580.25,55945.0,30162.25,58337.0,30126.25
63738.25,28878.5,55888.5,30486.5,64498.5,28058.0,61572.25,28175.75,57862.5,27714.5,58210.75,29292.25,52909.0,29581.25,54868.5,26837.0
60590.25,27891.0,54575.0,24142.25,60335.75,28870.75,53638.25,28652.75,57692.5,28518.0,57960.75,29345.0,53479.0,30400.5,52566.0,29359.5
61370.0,30079.75,56988.25,29577.75,56894.25,26907.25,52856.0,30466.25,53182.5,28191.25,45100.5,28314.0,57538.0,27231.0,56344.5,26620.25
59156.0,28718.25,52448.5,27630.0,55848.0,27813.5,54046.25,29171.25,53686.25,26511.0,52069.0,28107.0,54490.75,27015.5,57746.5,29705.75
55300.0,26865.5,44040.75,29751.25,58212.0,28374.0,57841.0,31354.75,59200.75,29578.0,52839.75,27054.25,56459.25,28951.25,52165.75,30105.75
58842.25,28945.5,57247.75,29451.25,58397.0,30561.0,59369.75,30642.25,58300.5,29052.5,42797.25,27304.25,56205.5,27777.75,54788.25,28835.25
54839.75,29466.5,58576.25,25981.0,54581.25,28608.25,55905.0,30773.75,54590.5,28551.25,56850.25,21699.5,60837.75,29059.25,56522.5,28012.25
56993.75,28929.5,55061.5,28605.25,57192.25,28874.0,55631.25,27501.25,58047.5,30429.5,57000.0,28207.5,59619.25,26287.0,56935.75,22951.25
