sub,group,hemi,roi,cond,roi_size,mean_act,volume,sum_selec
sub-hemispace1004,patient,left,ventral_visual_cortex,tool,334869,5.258361339569092,56339.0,296250.8125
sub-hemispace1004,patient,left,ventral_visual_cortex,non_tool,334869,5.437089920043945,57675.0,313584.15625
sub-hemispace1004,patient,left,ventral_visual_cortex,object,334869,4.3515849113464355,31940.0,138989.625
sub-hemispace1004,patient,left,ventral_visual_cortex,face,334869,2.799323081970215,947.0,2650.958984375
sub-hemispace1004,patient,left,ventral_visual_cortex,word,334869,2.670156955718994,887.0,2368.42919921875
sub-hemispace1004,patient,left,hemi,space,613618,5.208139896392822,71667.0,373251.75
sub-hemispace1004,patient,left,hemi,feat,613618,4.65065336227417,72017.0,334926.09375
sub-hemispace1004,patient,left,hemi,tool,613618,4.925047874450684,87137.0,429153.90625
sub-hemispace1004,patient,left,hemi,non_tool,613618,5.103795051574707,88792.0,453176.1875
sub-hemispace1004,patient,left,hemi,object,613618,4.134573936462402,43982.0,181846.828125
sub-hemispace1004,patient,left,hemi,face,613618,2.738978147506714,1326.0,3631.885009765625
sub-hemispace1004,patient,left,hemi,word,613618,2.6323630809783936,1555.0,4093.324462890625
sub-hemispace1006,patient,right,dorsal_visual_cortex,space,54109,5.274233341217041,17128.0,90337.0703125
sub-hemispace1006,patient,right,dorsal_visual_cortex,feat,54109,5.385513782501221,17950.0,96669.9765625
sub-hemispace1006,patient,right,dorsal_visual_cortex,tool,54109,4.172898769378662,7917.0,33036.83984375
sub-hemispace1006,patient,right,dorsal_visual_cortex,non_tool,54109,4.157437324523926,7033.0,29239.2578125
sub-hemispace1006,patient,right,dorsal_visual_cortex,object,54109,3.264443874359131,3161.0,10318.9072265625
sub-hemispace1006,patient,right,dorsal_visual_cortex,face,54109,2.9446141719818115,1007.0,2965.2265625
sub-hemispace1006,patient,right,dorsal_visual_cortex,word,54109,2.8747365474700928,1308.0,3760.1552734375
sub-hemispace1006,patient,right,ventral_visual_cortex,space,356217,4.360808849334717,72423.0,315822.875
sub-hemispace1006,patient,right,ventral_visual_cortex,feat,356217,4.469090938568115,75724.0,338417.4375
sub-hemispace1006,patient,right,ventral_visual_cortex,tool,356217,4.13615608215332,26337.0,108933.9453125
sub-hemispace1006,patient,right,ventral_visual_cortex,non_tool,356217,4.3023905754089355,27770.0,119477.3828125
sub-hemispace1006,patient,right,ventral_visual_cortex,object,356217,3.270864963531494,11422.0,37359.8203125
sub-hemispace1006,patient,right,ventral_visual_cortex,face,356217,3.0620453357696533,5409.0,16562.603515625
sub-hemispace1006,patient,right,ventral_visual_cortex,word,356217,3.0890612602233887,7258.0,22420.40625
sub-hemispace1006,patient,right,hemi,space,652505,4.2359466552734375,118800.0,503230.46875
sub-hemispace1006,patient,right,hemi,feat,652505,4.364513874053955,124061.0,541465.9375
sub-hemispace1006,patient,right,hemi,tool,652505,4.086499214172363,34429.0,140694.078125
sub-hemispace1006,patient,right,hemi,non_tool,652505,4.3138203620910645,36022.0,155392.4375
sub-hemispace1006,patient,right,hemi,object,652505,3.2207529544830322,13535.0,43592.890625
sub-hemispace1006,patient,right,hemi,face,652505,3.0225284099578857,7193.0,21741.046875
sub-hemispace1006,patient,right,hemi,word,652505,2.999635696411133,11493.0,34474.8125
sub-hemispace1007,patient,left,dorsal_visual_cortex,space,47988,6.7356390953063965,16741.0,112761.3359375
sub-hemispace1007,patient,left,dorsal_visual_cortex,feat,47988,6.616595268249512,13566.0,89760.734375
sub-hemispace1007,patient,left,dorsal_visual_cortex,tool,47988,4.918119430541992,7451.0,36644.90625
sub-hemispace1007,patient,left,dorsal_visual_cortex,non_tool,47988,6.020753383636475,11853.0,71363.9921875
sub-hemispace1007,patient,left,dorsal_visual_cortex,object,47988,3.752859592437744,4841.0,18167.59375
sub-hemispace1007,patient,left,dorsal_visual_cortex,face,47988,3.1599841117858887,2611.0,8250.71875
sub-hemispace1007,patient,left,dorsal_visual_cortex,word,47988,3.1682045459747314,3823.0,12112.0458984375
sub-hemispace1007,patient,left,ventral_visual_cortex,space,307008,5.273067474365234,34891.0,183982.59375
sub-hemispace1007,patient,left,ventral_visual_cortex,feat,307008,5.225758075714111,25109.0,131213.5625
sub-hemispace1007,patient,left,ventral_visual_cortex,tool,307008,4.346431255340576,14314.0,62214.8203125
sub-hemispace1007,patient,left,ventral_visual_cortex,non_tool,307008,5.138535499572754,22602.0,116141.1796875
sub-hemispace1007,patient,left,ventral_visual_cortex,object,307008,3.386168956756592,11795.0,39939.86328125
sub-hemispace1007,patient,left,ventral_visual_cortex,face,307008,3.261021375656128,6262.0,20420.515625
sub-hemispace1007,patient,left,ventral_visual_cortex,word,307008,3.1020565032958984,7437.0,23069.994140625
sub-hemispace1007,patient,left,hemi,space,565541,5.158855438232422,53878.0,277948.8125
sub-hemispace1007,patient,left,hemi,feat,565541,5.198284149169922,36801.0,191302.0625
sub-hemispace1007,patient,left,hemi,tool,565541,4.288690567016602,18654.0,80001.234375
sub-hemispace1007,patient,left,hemi,non_tool,565541,5.151167869567871,31358.0,161530.328125
sub-hemispace1007,patient,left,hemi,object,565541,3.2946622371673584,16258.0,53564.6171875
sub-hemispace1007,patient,left,hemi,face,565541,3.1412134170532227,8269.0,25974.693359375
sub-hemispace1007,patient,left,hemi,word,565541,3.07977032661438,11854.0,36507.59765625
