space_left_hemi,space_left_dorsal_visual_cortex,space_left_ventral_visual_cortex,space_right_hemi,space_right_dorsal_visual_cortex,space_right_ventral_visual_cortex,tool_left_hemi,tool_left_dorsal_visual_cortex,tool_left_ventral_visual_cortex,tool_right_hemi,tool_right_dorsal_visual_cortex,tool_right_ventral_visual_cortex,face_left_hemi,face_left_dorsal_visual_cortex,face_left_ventral_visual_cortex,face_right_hemi,face_right_dorsal_visual_cortex,face_right_ventral_visual_cortex,word_left_hemi,word_left_dorsal_visual_cortex,word_left_ventral_visual_cortex,word_right_hemi,word_right_dorsal_visual_cortex,word_right_ventral_visual_cortex
654814.75,54942.0,28436.75,678386.75,59253.0,32521.75,677963.0,59914.5,27975.0,648358.5,60889.75,30797.25,701525.75,56753.5,27072.75,658642.0,52207.0,28319.25,684856.75,58942.5,29708.5,723280.25,58801.0,28552.75
747646.25,55216.0,30755.75,711594.75,62780.0,29007.75,648032.5,56173.0,29936.75,628707.0,60352.5,30573.5,668056.25,60756.25,27900.25,686801.25,56128.5,27778.25,709830.25,59198.25,27250.5,670032.5,52596.25,29469.0
723196.25,58610.5,30189.25,746442.75,59496.5,31222.25,704506.25,58138.25,30331.5,667183.5,56624.75,31845.25,692990.0,57987.75,28476.0,691013.75,56790.0,29555.25,620105.75,58197.5,28388.5,684939.5,52549.75,29835.5
699605.25,62688.5,29251.5,681592.75,55123.25,30064.25,705995.0,54971.0,29539.0,692854.75,59206.5,30873.0,714048.25,54715.25,29094.75,668071.0,51419.0,27694.75,670784.5,60184.0,28010.5,673162.75,56930.0,28538.0
639790.25,57062.5,30382.0,625624.0,52751.75,28608.5,702481.75,61461.0,28197.75,648866.25,58567.25,28904.0,658035.0,54770.75,28586.5,618039.5,54478.5,28585.25,654181.0,58506.0,26561.5,635013.5,57570.25,27822.0
712489.0,56953.0,28693.75,658087.5,56474.5,29524.25,669251.5,61596.0,28505.75,659990.75,51960.5,28981.0,704122.0,54885.5,28720.75,681951.25,53905.25,27827.25,689314.5,59061.75,27070.25,641065.25,55341.5,28859.75
706351.0,66626.0,29991.0,729181.25,54243.25,28069.25,707274.25,61400.25,28267.0,689449.25,56487.25,30184.75,715854.0,59309.25,31899.5,665595.75,52735.0,30321.5,687426.75,62885.25,29901.75,678356.25,55743.0,30390.0
755796.25,58111.75,28170.25,757787.0,55333.5,31410.5,755796.5,53274.75,28795.5,643437.75,60048.25,32241.0,749656.25,50895.75,28687.5,675252.5,55679.5,28503.75,668562.25,53286.75,26557.0,660281.75,58166.25,29105.25
685580.5,53924.0,32416.0,688969.25,58683.5,27971.75,659843.25,57578.5,27832.5,696771.75,56897.5,31173.75,643871.0,56787.75,30998.25,667209.0,56532.75,27011.75,723790.75,55450.75,27536.5,663761.0,50803.0,28500.0
727848.25,60519.75,30992.25,653906.75,53134.75,29582.25,708907.25,55228.75,31897.5,684893.5,56634.75,29236.25,662140.0,59725.25,26901.75,684634.0,54177.75,29903.75,683509.5,60747.0,28327.5,670236.75,54438.25,28680.0
720791.75,61577.5,31997.0,693105.5,54345.25,28194.0,741797.0,60937.5,33073.25,769146.0,55457.5,31649.25,655816.25,54733.75,28684.25,695192.5,55621.0,29571.75,677155.75,59920.0,31623.5,668080.0,57076.75,27872.75
651760.75,55038.5,30988.75,699451.75,55992.75,29167.75,735686.25,57856.75,28389.75,721716.75,60338.75,28936.0,656622.5,63663.75,31234.75,634419.0,56953.5,28216.0,664794.75,57902.0,28443.75,671495.25,56414.5,26836.25
742269.5,58833.25,28276.0,686442.75,55162.25,31011.75,745674.0,58975.25,29342.5,650944.5,61981.25,29382.5,733344.0,58188.5,28904.0,663273.5,54490.5,27756.5,734163.25,59011.0,29913.0,676062.25,54153.25,29020.75
675536.0,55949.5,32186.25,707798.0,60439.75,28958.75,731061.0,54263.5,28304.75,753741.5,56197.5,26884.5,679092.25,59406.0,29687.5,623360.5,59912.25,28053.5,727097.25,56331.75,29441.75,665854.25,54954.0,28245.5
729994.5,54002.0,29013.75,693437.25,56527.5,29466.75,699156.25,56005.75,29057.5,627431.5,56794.75,29586.25,664228.75,58124.25,32219.0,662280.5,55171.75,30417.5,718966.5,56943.5,29392.0,677717.75,57143.75,29164.0
791208.0,58872.75,28669.0,647875.5,57992.5,30132.5,690420.5,57443.0,29325.0,628624.25,61357.5,27843.25,683446.0,54265.5,29116.0,617640.5,56131.25,27977.5,663999.5,55309.0,30212.75,653676.0,54539.75,31759.75
690594.75,52733.75,28855.25,721969.75,58295.25,29951.25,688651.0,57224.5,27511.0,662776.75,57371.25,27249.25,641816.75,56386.25,29820.25,704975.0,55955.5,29643.75,631437.75,58883.0,29073.75,653768.5,57372.25,29818.0
715226.5,57744.5,29699.75,700973.0,55956.0,29382.5,628066.5,63247.75,29865.0,663151.75,55271.0,30761.25,663996.0,55714.25,28307.0,655204.75,55777.0,31631.5,654961.5,59505.5,26910.25,691399.25,54387.25,28857.75
702601.25,54832.75,27620.25,742328.25,53434.75,28265.75,661684.0,58438.75,28843.0,759754.75,59859.0,29785.25,679729.0,54929.75,30132.75,674240.0,57432.75,27853.25,679416.0,62832.25,29681.25,656275.5,52946.75,30530.75
716325.75,63927.25,33961.5,655747.25,54469.0,30071.75,660028.0,60588.75,29098.25,703375.75,54395.25,28102.25,627438.5,55509.0,28908.0,669544.0,57534.5,28453.25,728703.5,57988.75,28973.25,713827.5,53672.0,28909.75
