sub,group,hemi,roi,cond,roi_size,mean_act,volume,sum_selec,sum_selec_norm
sub-103,control,right,dorsal_visual_cortex,space,52682,3.4826047,4026.0,14020.967,266.1434037598231
sub-103,control,right,dorsal_visual_cortex,tool,52682,2.872384,150.0,430.8576,8.178459530398785
sub-103,control,right,dorsal_visual_cortex,face,52682,3.7465546,312.0,1168.925,22.18831951763648
sub-103,control,right,dorsal_visual_cortex,word,52682,4.241649,351.0,1488.8188,28.260484561259062
sub-103,control,right,ventral_visual_cortex,space,26737,3.3848042,620.0,2098.5786,78.48968146318772
sub-103,control,right,ventral_visual_cortex,tool,26737,2.8240497,1.0,2.8240497,0.1056232827627414
sub-103,control,right,ventral_visual_cortex,face,26737,3.6438692,660.0,2404.9536,89.94852127318883
sub-103,control,right,ventral_visual_cortex,word,26737,3.512409,191.0,670.8701,25.0914506933276
sub-104,control,left,hemi,space,632922,3.6598597,14729.0,53906.074,85.17016981357894
sub-104,control,left,hemi,tool,632922,3.025909,4902.0,14833.006,23.43575647453399
sub-104,control,left,dorsal_visual_cortex,space,52881,3.6229546,5445.0,19726.988,373.0449174798132
sub-104,control,left,dorsal_visual_cortex,tool,52881,3.031053,850.0,2576.395,48.72061836068248
sub-104,control,left,ventral_visual_cortex,space,26961,3.316572,302.0,1001.60474,37.1501330191063
sub-104,control,left,ventral_visual_cortex,tool,26961,3.0606651,158.0,483.58508,17.936466859827622
sub-104,control,right,hemi,space,635003,4.1164317,27390.0,112749.06,177.55673988941783
sub-104,control,right,hemi,tool,635003,2.9833205,5191.0,15486.416,24.387941498898428
sub-104,control,right,dorsal_visual_cortex,space,52322,4.1679397,7621.0,31763.867,607.084346689729
sub-104,control,right,dorsal_visual_cortex,tool,52322,2.9787755,968.0,2883.4546,55.1097930095132
sub-104,control,right,ventral_visual_cortex,space,27371,3.480393,1338.0,4656.7656,170.13501972891015
sub-104,control,right,ventral_visual_cortex,tool,27371,3.0452883,122.0,371.52518,13.573679332211212
sub-105,control,left,hemi,space,704543,3.126391,3311.0,10351.48,14.6924750778164
sub-105,control,left,hemi,tool,704543,3.1918535,3031.0,9674.508,13.731607314954518
sub-105,control,left,dorsal_visual_cortex,space,60069,3.1621552,1804.0,5704.528,94.9662526766094
sub-105,control,left,dorsal_visual_cortex,tool,60069,3.2657607,1700.0,5551.793,92.42359567747091
sub-105,control,left,ventral_visual_cortex,space,29512,2.9260657,17.0,49.74312,1.685521763558309
sub-105,control,left,ventral_visual_cortex,tool,29512,2.6358366,1.0,2.6358366,0.0893140621190473
sub-105,control,right,hemi,space,708634,3.3354084,5980.0,19945.742,28.14674738652111
sub-105,control,right,hemi,tool,708634,3.1961603,1786.0,5708.3423,8.055416879737988
sub-105,control,right,dorsal_visual_cortex,space,58142,3.2416725,1843.0,5974.4023,102.75536348508824
sub-105,control,right,dorsal_visual_cortex,tool,58142,3.2777517,1247.0,4087.3564,70.29955015844828
sub-105,control,right,ventral_visual_cortex,space,29732,2.9157264,41.0,119.544785,4.020744805122375
sub-105,control,right,ventral_visual_cortex,tool,29732,2.7554202,13.0,35.82046,1.2047780597737574
sub-106,control,left,hemi,space,616630,3.456098,21581.0,74586.055,120.95755102330408
sub-106,control,left,hemi,tool,616630,3.0064287,1640.0,4930.543,7.995950519355205
sub-106,control,left,hemi,face,616630,3.1221528,4695.0,14658.508,23.77196667774841
sub-106,control,left,hemi,word,616630,3.2163029,10744.0,34555.957,56.04001918695166
